behav,S,a1,a2,a5,a6,a7,h1,h2,h5,c1,c2,c3,c4,d1,d3,Decay1,Decay2,Decay4,Decay7,Decay8,leakage_A1,leakage_B,leakage_HSPR,hstart,hduration,model_name,end_time
sto,15.18792095844734,30.91588393201879,136.5595326134574,33.967392829287974,2,300,7.889471963461487,3.743552671154747,3.938947,13.080016054081048,2.804110135105403,13.926458996318432,1.379707875713198,0.057864553,0.050294733455238425,0.04,0.04,0.04,0.04,0.04,0.008125747,0.006100485,0.002423809,600,30,replaceA1,1000.0003479801323
det,15.015979849453505,49.285827115710184,144.88533949574264,35.49717355327791,2,300,6.118240176115793,8.058060689510794,9.655576650461262,10.815214193071453,4.128578245,10.230190631187613,1.1837737691942245,0.031832652,0.053654528,0.04,0.04,0.04,0.04,0.04,0.00825467,0.003629938,0.008910918,600,30,replaceA1,1000.0012929408431
det,13.985472989726885,41.167756897214325,78.39490308,23.977635097880217,2,300,8.126886625031553,1.5604981012241264,1.2317654446557906,7.669071410853562,3.737241277010627,8.516830495039533,0.44210984917794416,0.014234547693713472,0.095436837,0.04,0.04,0.04,0.04,0.04,0.00936844,0.002256471,0.001620844,600,30,replaceA1,1000.0003377963525
det,13.922946922485941,45.53088259928898,190.44249603816792,16.98741306750904,2,300,3.1263126698095935,7.876343006444618,2.167671131,13.272161995193931,3.726443641370467,10.190344890659764,0.7025915221598883,0.039836397,0.020160941031026298,0.04,0.04,0.04,0.04,0.04,0.004453994,0.007152629,0.008681307,600,30,replaceA1,1000.0000339452453
det,13.835961423699386,47.578939219755505,231.82374275687857,40.55122633241517,2,300,3.568404156,7.223186088316059,4.825351980272716,11.087115939513138,4.299403269016577,13.431070709408665,1.2776094045879172,0.010422768945098462,0.064688407,0.04,0.04,0.04,0.04,0.04,0.009983098,0.006690898,0.002941045,600,30,replaceA1,1000.0027523183122
sto,12.442664805394786,21.87202053521409,246.6175362077495,14.56574746266417,2,300,5.047402181063801,5.4861063899644416,1.428179851155011,10.706784654400757,4.096403525274149,14.13640200327399,0.22870980568262114,0.057996514,0.039329316,0.04,0.04,0.04,0.04,0.04,0.007546365,0.003577469,0.008268094,600,30,replaceA1,1000.0030034986272
det,10.569242856966133,32.93636728281552,192.59653163357913,9.597907409,2,300,2.0163815912749725,8.547955164551844,1.0943433700465723,5.028616041496441,4.024551871915056,11.492601197885282,1.3170144658313094,0.088253319,0.043490095,0.04,0.04,0.04,0.04,0.04,0.005764468,0.006577612,0.001775789,600,30,replaceA1,1000.0003947294531
det,10.003689855135704,35.77878184547083,113.92390429560717,21.977739490830036,2,300,6.185950879,9.779921440906731,1.0395598082035358,11.18261807033313,4.292843944304016,13.707678446585064,0.6268185311518976,0.051196839,0.053047738,0.04,0.04,0.04,0.04,0.04,0.001864853,0.001536084,0.005593117,600,30,replaceA1,1000.0020081509657
sto,1.5860111804586206,27.468920093836587,145.85339499876468,44.734194208266366,2,300,2.7484061731547706,7.838675374933355,5.723026888513514,7.820372052242844,1.4401970189591957,12.64280894284597,1.7700685350250602,0.085442025,0.020262722942704165,0.04,0.04,0.04,0.04,0.04,0.007399092,0.007778682,0.001397085,600,30,replaceA1,1000.0012364616247
sto,1.5124064274089173,7.736824402123555,105.77227761278095,8.508194270266664,2,300,4.770391240129232,5.188725326398978,1.728665128532803,5.218052096200218,4.791425354080402,14.528350293752489,0.18522214081902763,0.047123034034257015,0.030647311,0.04,0.04,0.04,0.04,0.04,0.002703912,0.008485228,0.009563387,600,30,replaceA1,1000.0000484614543
